
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A8:BD:27:E9:41:E1, 2024-01-08 12:04:03, 2024-01-08 12:26:31, 11, 260, WPA2, CCMP, MGT, -88,      212,      593,   0.  0.  0.  0,   7, YRDSB-S, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
42:26:D6:33:9A:C0, 2024-01-08 12:04:10, 2024-01-08 12:04:10, -84,        5, A8:BD:27:E9:41:E1,
32:D5:54:85:2E:B8, 2024-01-08 12:04:12, 2024-01-08 12:04:12,  -1,       11, A8:BD:27:E9:41:E1,
3E:99:D2:8B:FE:37, 2024-01-08 12:05:56, 2024-01-08 12:06:25,  -1,       66, A8:BD:27:E9:41:E1,
12:DB:76:ED:B6:81, 2024-01-08 12:06:13, 2024-01-08 12:06:25, -87,      140, A8:BD:27:E9:41:E1,
86:FE:AA:85:2B:54, 2024-01-08 12:06:30, 2024-01-08 12:06:34, -81,        8, A8:BD:27:E9:41:E1,
FA:3F:5F:76:D8:72, 2024-01-08 12:08:08, 2024-01-08 12:08:11,  -1,        6, A8:BD:27:E9:41:E1,
DA:7E:A9:CC:BC:CF, 2024-01-08 12:08:12, 2024-01-08 12:13:35, -84,       44, A8:BD:27:E9:41:E1,
56:72:59:D5:3C:7B, 2024-01-08 12:08:47, 2024-01-08 12:26:19, -88,        6, A8:BD:27:E9:41:E1,
C6:1D:78:13:65:80, 2024-01-08 12:08:48, 2024-01-08 12:12:47, -88,       20, A8:BD:27:E9:41:E1,
92:0D:AF:A3:FE:06, 2024-01-08 12:09:14, 2024-01-08 12:19:46, -84,       10, A8:BD:27:E9:41:E1,
76:38:26:74:B0:BD, 2024-01-08 12:09:53, 2024-01-08 12:17:33, -88,       47, A8:BD:27:E9:41:E1,
92:AD:D5:F9:43:DA, 2024-01-08 12:10:16, 2024-01-08 12:10:31, -79,      138, A8:BD:27:E9:41:E1,
CA:42:82:A2:F7:CD, 2024-01-08 12:10:48, 2024-01-08 12:25:23, -81,        5, A8:BD:27:E9:41:E1,
